,title,period,place,rate,price,link
37,K-컬처 페스티벌 in 강릉,2024.01.28 - 2024.01.28,강릉 관동하키센터(세바스티아노 스포츠센터),0.53%,"[10000, 10000]",https://www.ticketlink.co.kr/product/47806
38,LoveLive! Series AsiaTour 2024,2024.12.14 - 2024.12.15,고려대학교 화정체육관,0.53%,"[165000, 148000, 126000]",https://www.ticketlink.co.kr/product/51390
39,NieR : Orchestra Concert 1 2 0 2 4 [ the end of data ],2025.01.11 - 2025.01.11,경희대학교 평화의전당,0.51%,"[219000, 143000, 132000, 121000, 88000]",https://www.ticketlink.co.kr/product/52474
40,2024 SMG SHOW 우주최강쇼,2024.12.07 - 2024.12.08,경희대학교 평화의전당,0.51%,"[143000, 121000, 110000, 99000, 99000]",https://www.ticketlink.co.kr/product/53118
41,[20집 발매 기념 조용필&위대한탄생 Concert - 부산],2024.12.28 - 2024.12.28,부산 BEXCO 제1전시장,0.48%,"[176000, 165000, 143000, 110000]",https://www.ticketlink.co.kr/product/53006
42,스테이지 파이터 [THE ORIGINALS] TOUR - 대구,2025.01.11 - 2025.01.11,대구엑스코 5층 컨벤션홀,0.45%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53719
43,BABYMONSTER PRESENTS : SEE YOU THERE,2024.08.10 - 2024.08.11,경희대학교 평화의전당,0.44%,"[99000, 66000]",https://www.ticketlink.co.kr/product/50926
44,Premium talk show <정동화의 레드카펫>,2024.04.30 - 2024.05.05,백암아트홀,0.44%,"[77000, 55000]",https://www.ticketlink.co.kr/product/49189
45,한수원 뮤직 페스티벌 <씨어터> - 경주,2024.11.08 - 2024.11.10,경주예술의전당 화랑홀,0.43%,"[150000, 100000, 60000]",https://www.ticketlink.co.kr/product/52629
46,스테이지 파이터 [THE ORIGINALS] TOUR - 인천,2024.12.25 - 2024.12.25,인천 송도컨벤시아,0.43%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53497
47,B1A4 13th Anniversary FAN CONCERT < 13ANA=DAY >,2024.04.20 - 2024.04.21,연세대학교 백주년기념관 콘서트홀,0.43%,"[132000, 121000]",https://www.ticketlink.co.kr/product/49044
48,PITTA 강형호 콘서트: New Normal Life - 서울,2024.05.18 - 2024.05.19,올림픽공원 올림픽홀,0.42%,"[154000, 154000, 132000, 110000]",https://www.ticketlink.co.kr/product/49604
49,LIVE ON 부산 LUCY X ONEWE,2024.11.16 - 2024.11.16,KBS 부산홀,0.42%,"[121000, 110000, 99000]",https://www.ticketlink.co.kr/product/52517
